event_id,timestamp,process_name,command_line,parent_image,user,integrity_level,label,occurrence_count,weight,hour_of_day,day_of_week,is_weekend,is_business_hours,event_sequence_id,events_in_last_hour,events_in_last_day,parent_is_same,has_unusual_parent,process_path_depth,is_system_path,is_user_path
1,2025-11-16 22:06:11.887621+00:00,C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k GPSvcGroup,C:\Windows\System32\services.exe,NT AUTHORITY\SYSTEM,System,1,8,0.125,0.9166666666666666,1.0,1.0,0.0,0,0,0,0.0,0.0,3,1.0,0.0
1,2025-11-16 22:07:36.538599+00:00,C:\Windows\UUS\amd64\MoUsoCoreWorker.exe,"""C:\WINDOWS\uus\AMD64\MoUsoCoreWorker.exe"" useprivatenamespaces",C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,System,1,13,0.07692307692307693,0.9166666666666666,1.0,1.0,0.0,1,0,0,0.0,0.0,4,1.0,0.0
1,2025-11-16 22:15:49.670364+00:00,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /ua /installsource scheduler",C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,System,1,4,0.25,0.9166666666666666,1.0,1.0,0.0,2,0,0,0.0,0.0,4,1.0,0.0
1,2025-11-16 22:20:33.522402+00:00,C:\Windows\System32\taskhostw.exe,taskhostw.exe SYSTEM,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,System,1,2,0.5,0.9166666666666666,1.0,1.0,0.0,3,0,0,0.0,0.0,3,1.0,0.0
1,2025-11-16 22:20:33.630796+00:00,C:\Windows\System32\taskhostw.exe,taskhostw.exe USER,C:\Windows\System32\svchost.exe,MrX\adity,Medium,1,1,1.0,0.9166666666666666,1.0,1.0,0.0,4,0,0,0.0,0.0,3,1.0,0.0
1,2025-11-16 22:20:54.437342+00:00,C:\Windows\System32\sdbinst.exe,C:\WINDOWS\System32\sdbinst.exe -m -bg,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,System,1,2,0.5,0.9166666666666666,1.0,1.0,0.0,5,0,0,0.0,0.0,3,1.0,0.0
1,2025-11-16 22:25:50.586992+00:00,C:\Program Files\Git\cmd\git.exe,"""C:\Program Files\Git\cmd\git.exe"" -c core.longpaths=true -c core.quotepath=false -c color.ui=false rev-parse --verify --end-of-options 4f41a32^{commit}",C:\Users\adity\AppData\Local\Programs\Microsoft VS Code\Code.exe,MrX\adity,Medium,1,2,0.5,0.9166666666666666,1.0,1.0,0.0,6,0,0,0.0,1.0,4,1.0,0.0
1,2025-11-16 22:26:01.755878+00:00,C:\Program Files\Git\mingw64\bin\git.exe,git.exe -c core.longpaths=true -c core.quotepath=false -c color.ui=false rev-parse --verify --end-of-options 4f41a32^{commit},C:\Program Files\Git\cmd\git.exe,MrX\adity,Medium,1,2,0.5,0.9166666666666666,1.0,1.0,0.0,7,0,0,0.0,0.0,5,1.0,0.0
1,2025-11-16 22:26:19.625248+00:00,C:\Program Files\Python311\python.exe,"""C:\Program Files\Python311\python.exe"" C:\Users\adity\lolbin-detection-system\data_collection\automation\user_behavior_simulator_enhanced.py --duration 31 --interval 60 ",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,MrX\adity,High,1,1,1.0,0.9166666666666666,1.0,1.0,0.0,8,0,0,0.0,0.0,3,1.0,0.0
1,2025-11-16 22:27:49.608135+00:00,C:\Program Files\Git\cmd\git.exe,"""C:\Program Files\Git\cmd\git.exe"" config --get commit.template",C:\Users\adity\AppData\Local\Programs\Microsoft VS Code\Code.exe,MrX\adity,Medium,1,11,0.09090909090909091,0.9166666666666666,1.0,1.0,0.0,9,0,0,0.0,1.0,4,1.0,0.0
1,2025-11-16 22:27:49.787367+00:00,C:\Program Files\Git\cmd\git.exe,"""C:\Program Files\Git\cmd\git.exe"" for-each-ref --format=%%(refname)%%00%%(upstream:short)%%00%%(objectname)%%00%%(upstream:track)%%00%%(upstream:remotename)%%00%%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main",C:\Users\adity\AppData\Local\Programs\Microsoft VS Code\Code.exe,MrX\adity,Medium,1,10,0.1,0.9166666666666666,1.0,1.0,0.0,10,0,0,0.0,1.0,4,1.0,0.0
1,2025-11-16 22:27:49.803530+00:00,C:\Program Files\Git\mingw64\bin\git.exe,git.exe config --get commit.template,C:\Program Files\Git\cmd\git.exe,MrX\adity,Medium,1,11,0.09090909090909091,0.9166666666666666,1.0,1.0,0.0,11,0,0,0.0,0.0,5,1.0,0.0
1,2025-11-16 22:27:49.915270+00:00,C:\Program Files\Git\mingw64\bin\git.exe,git.exe for-each-ref --format=%%(refname)%%00%%(upstream:short)%%00%%(objectname)%%00%%(upstream:track)%%00%%(upstream:remotename)%%00%%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main,C:\Program Files\Git\cmd\git.exe,MrX\adity,Medium,1,12,0.08333333333333333,0.9166666666666666,1.0,1.0,0.0,12,0,0,0.0,0.0,5,1.0,0.0
1,2025-11-16 22:27:50.028137+00:00,C:\Program Files\Git\cmd\git.exe,"""C:\Program Files\Git\cmd\git.exe"" status -z -uall",C:\Users\adity\AppData\Local\Programs\Microsoft VS Code\Code.exe,MrX\adity,Medium,1,12,0.08333333333333333,0.9166666666666666,1.0,1.0,0.0,13,0,0,0.0,1.0,4,1.0,0.0
1,2025-11-16 22:27:50.028547+00:00,C:\Program Files\Git\cmd\git.exe,"""C:\Program Files\Git\cmd\git.exe"" for-each-ref --sort -committerdate --format %%(refname)%%00%%(objectname)%%00%%(*objectname)",C:\Users\adity\AppData\Local\Programs\Microsoft VS Code\Code.exe,MrX\adity,Medium,1,9,0.1111111111111111,0.9166666666666666,1.0,1.0,0.0,14,0,0,0.0,1.0,4,1.0,0.0
1,2025-11-16 22:27:50.147116+00:00,C:\Program Files\Git\mingw64\bin\git.exe,git.exe for-each-ref --sort -committerdate --format %%(refname)%%00%%(objectname)%%00%%(*objectname),C:\Program Files\Git\cmd\git.exe,MrX\adity,Medium,1,11,0.09090909090909091,0.9166666666666666,1.0,1.0,0.0,15,0,0,0.0,0.0,5,1.0,0.0
1,2025-11-16 22:27:50.147530+00:00,C:\Program Files\Git\mingw64\bin\git.exe,git.exe status -z -uall,C:\Program Files\Git\cmd\git.exe,MrX\adity,Medium,1,11,0.09090909090909091,0.9166666666666666,1.0,1.0,0.0,16,0,0,0.0,0.0,5,1.0,0.0
1,2025-11-16 22:27:58.269146+00:00,C:\Program Files\Git\cmd\git.exe,"""C:\Program Files\Git\cmd\git.exe"" -c core.longpaths=true -c core.quotepath=false -c color.ui=false ls-files -- data_collection/automation/verify_dataset.ps1",C:\Users\adity\AppData\Local\Programs\Microsoft VS Code\Code.exe,MrX\adity,Medium,1,1,1.0,0.9166666666666666,1.0,1.0,0.0,17,0,0,0.0,1.0,4,1.0,0.0
1,2025-11-16 22:27:58.367088+00:00,C:\Program Files\Git\mingw64\bin\git.exe,git.exe -c core.longpaths=true -c core.quotepath=false -c color.ui=false ls-files -- data_collection/automation/verify_dataset.ps1,C:\Program Files\Git\cmd\git.exe,MrX\adity,Medium,1,1,1.0,0.9166666666666666,1.0,1.0,0.0,18,0,0,0.0,0.0,5,1.0,0.0
1,2025-11-16 22:27:58.418938+00:00,C:\Program Files\Git\cmd\git.exe,"""C:\Program Files\Git\cmd\git.exe"" show --textconv :data_collection/automation/verify_dataset.ps1",C:\Users\adity\AppData\Local\Programs\Microsoft VS Code\Code.exe,MrX\adity,Medium,1,1,1.0,0.9166666666666666,1.0,1.0,0.0,19,0,0,0.0,1.0,4,1.0,0.0
1,2025-11-16 22:27:58.419224+00:00,C:\Program Files\Git\cmd\git.exe,"""C:\Program Files\Git\cmd\git.exe"" ls-files --stage -- data_collection/automation/verify_dataset.ps1",C:\Users\adity\AppData\Local\Programs\Microsoft VS Code\Code.exe,MrX\adity,Medium,1,1,1.0,0.9166666666666666,1.0,1.0,0.0,20,0,0,0.0,1.0,4,1.0,0.0
1,2025-11-16 22:27:58.499916+00:00,C:\Program Files\Git\mingw64\bin\git.exe,git.exe show --textconv :data_collection/automation/verify_dataset.ps1,C:\Program Files\Git\cmd\git.exe,MrX\adity,Medium,1,1,1.0,0.9166666666666666,1.0,1.0,0.0,21,0,0,0.0,0.0,5,1.0,0.0
